"ב""ה",,,,
עסקים פעילים,,,,
שם עסק,כתובת,עיר,סוג,פעילות עסק
אבי אליהו,בן יעקב 8,בני ברק,חנות,פלאפל וציפס
אברמיטו,יגאל אלון 6,בית שמש,מטבח,מסעדות ומזנונים
אולמי דונולו,דונולו 11,בני ברק,מטבח,קייטרינג בשרי
אולמי השמחות,מלצר 15,בני ברק,מטבח,קייטרינג בשרי
אולמי רויאל,שלמה המלך 31,בני ברק,מטבח,קייטרינג בשרי
אורות עמיחי,שפינוזה 7,אשקלון,מטבח,קייטרינג בשרי
איטליוני,ירושלים 36,בני ברק,מטבח,מסעדה חלבית
אירוע מושלם,המכבים 58,בני ברק,מטבח,קייטרינג בשרי
אם וילד,אבני נזר 10,בני ברק,מטבח,בתי מלון
אצל זולבך (צלילי האש),זבוטינסקי 100,בני ברק,מטבח,מסעדות ומזנונים
אריסטוקראט,דמשק אליעזר 16,בני ברק,מטבח,"אולמות,בתי מלון"
בוטיק לילך,הקישון 31,בני ברק,מטבח,עיצובי פירות וקינוחים
בוסתן הרימון - קייטריג חיצוני בלבד,אהרונוביץ 10,בני ברק,מטבח,אולמות
בית התבשיל,לזרוב 5,ראשון לציון,מטבח,קייטרינג בשרי
בית מרגוע לזקנים,קוק 31,בני ברק,מטבח,בתי אבות
בראנצ - קייטרינג חלבי (צויבל),מעונות ויזניץ 4,בני ברק,מטבח,קייטרינג חלבי
ג'סט מיט,מצדה 7,בני ברק,מטבח,מסעדות ומזנונים
גולד,ר נחמן מברסלב 12,בני ברק,מטבח,קייטרינג בשרי
גולן גורמה,אצל 33,ראשון לציון,מטבח,עיצובי פירות וקינוחים
גור - מאור ישראל,מלצר 32-34,בני ברק,מטבח,ישיבות ומוסדות
גושן,יוחנן בן זכאי 58,אלעד,מטבח,קייטרינג בשרי
גינדי גלאט,קלישר 6,חולון,מטבח,קייטרינג בשרי
גני הדקל,עזרא 20,בני ברק,מטבח,אולמות
גראנדשיק,הרב הירש 4,בני ברק,מטבח,עיצובי פירות וקינוחים
דה בסט,"הרא""ה 22",רחובות,מטבח,קייטרינג בשרי
דונולו,דונולו 11,בני ברק,מטבח,אולמות
דיויס,נחשון 17,פתח תקוה,מטבח,קייטרינג בשרי
דליסיו,"רלב""ג 13",בני ברק,מטבח,עיצובי פירות וקינוחים
הטאבון של מאיה,ז'בוטינסקי 88,בני ברק,מטבח,מסעדה חלבית
הטופ (טופורוביץ),מעינה של תורה 4,בני ברק,מטבח,קייטרינג בשרי
היכלי מלכות * 3,שלמה המלך 18,בני ברק,מטבח,אולמות
הכל בפיתה,שדרות האמוראים 59,בית שמש,מטבח,מסעדות ומזנונים
המאפים של מאיה,זבוטינסקי 78,בני ברק,מטבח,עיצובי פירות וקינוחים
המסעדה היהודית,העמל 50,פתח תקוה,מטבח,קייטרינג בשרי
המסעדה היהודית,כנרת 4,בני ברק,מטבח,מסעדות ומזנונים
המעדניה של בני ברק,רבי עקיבא 150,בני ברק,מטבח,מעדניות
הסטייק - מטבח שמבין בטעם,הפלדה 22,ערד,מטבח,קייטרינג בשרי
הר טוב - א.י.ג. שירותי הסעדה,המלאכה 2 א.ת. הר טוב,בית שמש,מטבח,קייטרינג בשרי
הרימון,שכטמן יוסף 103,ירושלים,מטבח,קייטרינג בשרי
השוויגער,שדרות האמוראים 69,בית שמש,מטבח,מעדניות
השמחות,מלצר 15,בני ברק,מטבח,אולמות
והדרת פני זקן - תפארת הורים,מחזיקי הדת 4,בני ברק,מטבח,בתי אבות
וולפס,"האדמו""ר האמצעי 3",לוד,מטבח,קייטרינג בשרי
ויז'ניץ - מטבח החסד ויגילו בשמחה,חזון איש 99,בני ברק,מטבח,"קייטרינג בשרי,ישיבות ומוסדות"
ויז'ניץ - מרכז סיעוד בית הורים,דמשק אליעזר 12,בני ברק,מטבח,בתי אבות
ויז'ניץ - שפע טעים ובריא,קיבוץ גלויות 28,בני ברק,מטבח,"קייטרינג בשרי,ישיבות ומוסדות"
חברים מהדרין,קניון רמות,ירושלים,מטבח,מסעדות ומזנונים
חיימיש,חשמונאים 25,לוד,מטבח,קייטרינג בשרי
טועמיה חיים זכו (דסקל),רב האי גאון 16,בני ברק,מטבח,קוגל
טעים בבית,שאול המלך 21,בני ברק,מטבח,קייטרינג בשרי
טשערנוביל,חבקוק 29,בני ברק,מטבח,ישיבות ומוסדות
יוני ג'ורנו,זבוטינסקי 28,בני ברק,מטבח,קייטרינג חלבי
יצהר,,יצהר,מטבח,קייטרינג בשרי
כיד המלך,דנגור 39,בני ברק,מטבח,קייטרינג בשרי
מ. ש. עוגות ומאפה בוטיק,הבנאי 5,בית שמש,מטבח,עיצובי פירות וקינוחים
מאמה מיה,מדרחוב הבנים,טבריה,מטבח,מסעדה חלבית
מוכן ומזומן,חזון איש 17,בני ברק,מטבח,מסעדות ומזנונים
מטובך - א. שף,המלאכה 2 א.ת. הר טוב,בית שמש,מטבח,קייטרינג בשרי
מטעים לי (רינגל),דסלר 8,בני ברק,מטבח,קוגל
מטעמים,מיכאל 7,חיפה,מטבח,"קייטרינג בשרי,מסעדות ומזנונים,מעדניות"
מייסטר,המלאכה 15 הר טוב א,בית שמש,מטבח,עיצובי פירות וקינוחים
מכנובקא בעלזא - ישיבה גדולה,השלושה 30,בני ברק,מטבח,ישיבות ומוסדות
מכנובקא בעלזא - ישיבה קטנה,רב אסי 7-9,בני ברק,מטבח,ישיבות ומוסדות
מלון בני ברק,"קדושת יו""ט 5",בני ברק,מטבח,"אולמות,בתי מלון"
מנטה בייגל,ירושלים 23,בני ברק,מטבח,"קייטרינג חלבי,מסעדה חלבית"
מסובין,שדרות יגאל אלון 2,בית שמש,מטבח,מסעדות ומזנונים
מעדני פרידמן,באר מים חיים 14,בני ברק,מטבח,קייטרינג בשרי
מעדני פרידמן,"ראב""ד 32",בני ברק,מטבח,מעדניות
"מעדני ש""פ","ראב""ד 26",בני ברק,מטבח,"מסעדות ומזנונים,מעדניות"
מעדני שבת (ווייץ),חזון איש 87 זמני,בני ברק,מטבח,קוגל
מרבים בשמחה,שלמה המלך 5,בני ברק,מטבח,קייטרינג בשרי
משולשים אקספרס,שדרות האמוראים 26,בית שמש,מטבח,מסעדה חלבית
משולשים אקספרס,"הר""ן 7",ביתר עילית,מטבח,מסעדה חלבית
משולשים אקספרס,יגאל אלון 6,בית שמש,מטבח,מסעדה חלבית
משולשים אקספרס,נחל שורק 48,בית שמש,מטבח,מסעדה חלבית
נדבורנה,"חידושי הרי""ם 16",בני ברק,מטבח,ישיבות ומוסדות
נוחעם,חגי 16,בני ברק,מטבח,קייטרינג בשרי
נועם התורה,מלצר 38,בני ברק,מטבח,ישיבות ומוסדות
ניצנים,בר כוכבא 23,בני ברק,מטבח,קייטרינג בשרי
נתיס דלישעס (ידעי),קהילות יעקב 37,בני ברק,מטבח,מעדניות
סאטמאר,מתתיהו 16,בני ברק,מטבח,ישיבות ומוסדות
סול - מסעדת דגים ובשרים,מדרחוב הבנים,טבריה,מטבח,מסעדות ומזנונים
סושי טיים,הירקון 73,בני ברק,מטבח,קייטרינג בשרי
סלט שף,יעבץ 24,בני ברק,מטבח,קייטרינג חלבי
סערט ויז'ניץ 'מקור ברוך' - ישיבה קטנה,דמשק אליעזר 37,בני ברק,מטבח,ישיבות ומוסדות
עוגה ועוגה,החרושת 2,רעננה,מטבח,"עיצובי פירות וקינוחים,מאפה ובצקים"
עטרת (ליס),מתתיהו 16,בני ברק,מטבח,קייטרינג בשרי
עיצובי ירקות vegetable sauce,ישמח משה 28,בני ברק,מטבח,עיצובי פירות וקינוחים
ערוגת הבושם,דמשק אליעזר 14,בני ברק,מטבח,בתי אבות
פינסק קרלין - ישיבה גדולה,שמעון הצדיק 15,בני ברק,מטבח,ישיבות ומוסדות
פינת הגלידה,כהנמן 107,בני ברק,מטבח,מסעדה חלבית
פינת הגלידה,035796515,בני ברק,מטבח,מסעדה חלבית
פינת הגלידה,רבי יהודה הנשיא 94,אלעד,מטבח,מסעדה חלבית
פיצה ועוד בטאבון,זבוטינסקי 134,בני ברק,מטבח,מסעדה חלבית
פלאנקען,שלמה המלך 18,בני ברק,מטבח,מסעדות ומזנונים
פקורינו - מסעדה חלבית וקייטרינג,יצחק בן צבי 1,טבריה,מטבח,"קייטרינג חלבי,מסעדה חלבית"
"פרימיום ווייס - ת""ת סאטמאר",ישמח משה 22,בני ברק,מטבח,"קייטרינג בשרי,ישיבות ומוסדות"
קריספי למהדרין,אבוחצירא 7,בני ברק,מטבח,קייטרינג בשרי
רבי עקיבא גריל בשרים,רבי עקיבא 31,בני ברק,מטבח,מסעדות ומזנונים
רויאל * 3,שלמה המלך 31,בני ברק,מטבח,אולמות
שאבעס ביג - מחלקת אוכל מוכן פתוח,בן יעקב 26,בני ברק,מטבח,"מסעדות ומזנונים,מעדניות"
שוקולדו,הלפיד 15,פתח תקוה,מטבח,עיצובי פירות וקינוחים
שורשים,נחשון 17,פתח תקוה,מטבח,קייטרינג בשרי
שטיסל,בר יוחאי 4,בני ברק,מטבח,"קייטרינג בשרי,מסעדות ומזנונים"
שטיסל,הרב שך 14,בני ברק,מטבח,מסעדות ומזנונים
שיעלעס (בלז),אהרונוביץ 20,בני ברק,מטבח,קוגל
שלוס - א.י. שירותי קייטרינג,בירנבוים 36,בני ברק,מטבח,"קייטרינג בשרי,קייטרינג חלבי"
שמרים,הסדנא 3,פתח תקוה,מטבח,עיצובי פירות וקינוחים
שניצלשף,ירושלים 8,בני ברק,מטבח,מסעדות ומזנונים
שפסל בשטייטל,הלפרין 10,בני ברק,מטבח,מעדניות

